doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1994_Chevillard-Eric_Prehistoire,1994,eric chevillard,prehistoire,True,male,XXXX,canon
1994_Beigbeder-Frederic_Marc-Marronnier_Tome-2-Vacances-dans-le-coma,1994,frederic beigbeder,marc marronnier,False,male,20--,non-canon
1995_Chevillard-Eric_Un-fantome,1995,eric chevillard,un fantome,True,male,XXXX,canon
1995_Gailly-Christian_Be-Bop,1995,christian gailly,be bop,False,male,2013,non-canon
1995_Nothomb-Amelie_Les-catilinaires,1995,amelie nothomb,les catilinaires,True,female,20--,canon
1995_Millet-Richard_La-gloire-des-pythre,1995,richard millet,la gloire des pythre,True,male,20--,canon
1995_Kristof-Agota_Hier,1995,agota kristof,hier,False,female,2011,non-canon
1995_Duras-Marguerite_Ecrire,1995,marguerite duras,ecrire,True,female,1996,canon
1995_Laurens-Camille_Philippe,1995,camille laurens,philippe,True,female,20--,canon
1995_Ferney-Alice_L-elegance-des-veuves,1995,alice ferney,l elegance des veuves,False,female,20--,non-canon
1995_Carrere-Emmanuel_La-classe-de-neige,1995,emmanuel carrere,la classe de neige,True,male,20--,canon
1995_Sarraute-Nathalie_Ici,1995,nathalie sarraute,ici,True,female,1999,canon
1995_Echenoz-Jean_Les-Grandes-Blondes,1995,jean echenoz,les grandes blondes,True,male,20--,canon
1995_Barjavel-Rene_Ravage,1995,rene barjavel,ravage,False,male,1985,non-canon
1995_Vargas-Fred_Debout-les-morts,1995,fred vargas,debout les morts,False,female,20--,non-canon
