character,gender
Gastyne-Jules-de_Le-lys-noir_<un homme-3>,Male
Gastyne-Jules-de_Le-lys-noir_<la baronne douairière de Frémilly—car-186>,Female
Gastyne-Jules-de_Le-lys-noir_<le petit Daly-1236>,Female
Gastyne-Jules-de_Le-lys-noir_<madame de Frémilly-150>,Female
Gastyne-Jules-de_Le-lys-noir_<Un homme-693>,Female
Gastyne-Jules-de_Le-lys-noir_<madame de Frémilly-1574>,Female
Stolz-Madame-de_Violence-et-bonte_<elle-1292>,Male
Stolz-Madame-de_Violence-et-bonte_<Robert-414>,Male
Stolz-Madame-de_Violence-et-bonte_<Robert-86>,Male
Stolz-Madame-de_Violence-et-bonte_<le vieux colonel-1093>,Male
Stolz-Madame-de_Violence-et-bonte_<le colonel-1583>,Male
Stolz-Madame-de_Violence-et-bonte_<la pauvre cousine Trépiez-1905>,Female
Stolz-Madame-de_Violence-et-bonte_<te-2093>,Male
Stolz-Madame-de_Violence-et-bonte_<Robert-1051>,Male
Stolz-Madame-de_Violence-et-bonte_<la tapageuse cousine-1769>,Female
Stolz-Madame-de_Violence-et-bonte_<Robert-194>,Male
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<Rosalie-163>,Male
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<la plus âgée-39>,Female
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<vous-969>,Female
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<Leb . . . .-668>,Male
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<Ma cousine Adèle-1193>,Male
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<le Roi-247>,Male
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<une charmante personne-316>,Female
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<madame Rouelle-1083>,Female
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<lui-339>,Female
Mere-Elisabeth-Brossin-de_Le-Parc-aux-Cerfs-ou-Histoire-secrete-des-jeunes-demoiselles-qui-y-ont-ete-renfermees_<celle-891>,Female
Pergaud-Louis_De-Goupil-a-Margot_<Margot-1248>,Female
Pergaud-Louis_De-Goupil-a-Margot_<elle-609>,Female
Pergaud-Louis_De-Goupil-a-Margot_<Margot-1167>,Female
Pergaud-Louis_De-Goupil-a-Margot_<Une-959>,Female
Pergaud-Louis_De-Goupil-a-Margot_<Margot-1389>,Female
Pergaud-Louis_De-Goupil-a-Margot_<Margot-1524>,Male
Pergaud-Louis_De-Goupil-a-Margot_<l' autre-307>,Male
Pergaud-Louis_De-Goupil-a-Margot_<le chien-262>,Male
Pergaud-Louis_De-Goupil-a-Margot_<Nyctalette-524>,Female
Pergaud-Louis_De-Goupil-a-Margot_<L' homme là derrière-114>,Male
Rolin-Olivier_Bar-des-flots-noirs_<J'-1684>,Male
Rolin-Olivier_Bar-des-flots-noirs_<Jamesy-1569>,Female
Rolin-Olivier_Bar-des-flots-noirs_<j'-3584>,Male
Rolin-Olivier_Bar-des-flots-noirs_<je-1870>,Female
Rolin-Olivier_Bar-des-flots-noirs_<je-2218>,Female
Rolin-Olivier_Bar-des-flots-noirs_<je-490>,Male
Rolin-Olivier_Bar-des-flots-noirs_<je-174>,Male
Rolin-Olivier_Bar-des-flots-noirs_<je-2831>,Female
Rolin-Olivier_Bar-des-flots-noirs_<j'-2157>,Male
Rolin-Olivier_Bar-des-flots-noirs_<Hans - Tête - de - lèpre-3470>,Female
Balzac-Honore-de_Maitre-Cornelius_<le roi-1030>,Male
Balzac-Honore-de_Maitre-Cornelius_<le roi-157>,Male
Balzac-Honore-de_Maitre-Cornelius_<le roi-1257>,Male
Balzac-Honore-de_Maitre-Cornelius_<au roi Charles IX-543>,Male
Balzac-Honore-de_Maitre-Cornelius_<votre logis-645>,Male
Balzac-Honore-de_Maitre-Cornelius_<moi-133>,Female
Balzac-Honore-de_Maitre-Cornelius_<du Lombard-403>,Male
Balzac-Honore-de_Maitre-Cornelius_<au roi-908>,Male
Balzac-Honore-de_Maitre-Cornelius_<maître Cornélius-715>,Male
Balzac-Honore-de_Maitre-Cornelius_<du vieux seigneur-109>,Male
Sue-Eugene_Le-morne-au-diable_<Le colonel Rutler-2110>,Male
Sue-Eugene_Le-morne-au-diable_<Arrache - l' Ame-1335>,Male
Sue-Eugene_Le-morne-au-diable_<du duc de Monmouth-3275>,Male
Sue-Eugene_Le-morne-au-diable_<—Monseigneur-3035>,Male
Sue-Eugene_Le-morne-au-diable_<Croustillac-2515>,Male
Sue-Eugene_Le-morne-au-diable_<mon père-711>,Male
Sue-Eugene_Le-morne-au-diable_<—Madame-2900>,Male
Sue-Eugene_Le-morne-au-diable_<Croustillac-4469>,Male
Sue-Eugene_Le-morne-au-diable_<—Polyphème-3647>,Male
Sue-Eugene_Le-morne-au-diable_<la petite veuve-1551>,Male
